ID,Title,Type,Priority,Status,Owner,Estimate,Deadline,Blocks,Description,Acceptance Criteria
ISSUE-001,Holiday Scope Decision,decision,P0-Critical,Open,kyklos-orchestrator,2h,2025-10-29 18:00,,Decide if holiday support is in v0.1 or v0.2. BRIEF says non-goal but fully designed in CRD/RECONCILE/CONCEPTS.,"ADR-0005 created, all docs updated consistently, examples aligned"
ISSUE-002,Create DST Spring Forward Test Fixture,artifact,P0-Critical,Open,testing-strategy-designer,1h,2025-10-29 18:00,ISSUE-007,Create test/fixtures/dst-spring-2025.yaml with 2025-03-09 date and America/New_York timezone,"File exists, has valid YAML, documents spring forward behavior, can be applied to cluster"
ISSUE-003,Create DST Fall Back Test Fixture,artifact,P0-Critical,Open,testing-strategy-designer,1h,2025-10-29 18:00,ISSUE-007,Create test/fixtures/dst-fall-2025.yaml with 2025-11-02 date and America/New_York timezone,"File exists, has valid YAML, documents fall back behavior, can be applied to cluster"
ISSUE-004,Create DST Cross-Midnight Test Fixture,artifact,P0-Critical,Open,testing-strategy-designer,1h,2025-10-29 18:00,ISSUE-007,Create test/fixtures/dst-cross-midnight-2025.yaml combining cross-midnight window with DST transition,"File exists, has valid YAML, documents combined edge case, can be applied to cluster"
ISSUE-005,Create Basic CI Workflow,artifact,P0-Critical,Open,ci-release-engineer,2h,2025-10-29 18:00,,.github/workflows/ci.yml with lint/test/build/smoke jobs per PIPELINE.md design,"Workflow file exists, runs on push/PR, all jobs defined, can be triggered"
ISSUE-006,Update Glossary Terms,documentation,P0-Critical,Open,api-crd-designer,1h,2025-10-29 18:00,,Remove activeReplicas/inactiveReplicas from BRIEF glossary. Add windows[].replicas and effectiveReplicas.,"Glossary matches actual API, no obsolete terms, all status fields defined"
ISSUE-007,Fix CRD Cross-Namespace Validation,bug,P0-Critical,Open,api-crd-designer,30m,2025-10-29 18:00,,CRD-SPEC line 28 blocks cross-namespace but ADR-0002 supports it. Fix validation rule.,"CRD-SPEC.md updated, validation allows cross-namespace, aligns with ADR-0002"
ISSUE-008,Add gracePeriodExpiry Status Field,enhancement,P1-High,Open,api-crd-designer,30m,2025-10-30 12:00,ISSUE-010,RECONCILE.md uses status.gracePeriodExpiry but field not in CRD-SPEC status definition,"Field added to CRD-SPEC.md with type/description, RECONCILE.md references correct field"
ISSUE-009,Complete Pause Semantics in RECONCILE,documentation,P1-High,Open,controller-reconcile-designer,1h,2025-10-30 12:00,,RECONCILE Step 7 has minimal pause logic. Copy detailed semantics from CONCEPTS lines 388-424.,"RECONCILE.md Step 7 has complete pause behavior, status update rules, event emission"
ISSUE-010,Fix Grace Period Field Name,bug,P1-High,Open,controller-reconcile-designer,1h,2025-10-30 12:00,ISSUE-008,RECONCILE uses both gracePeriod and gracePeriodSeconds. Standardize on gracePeriodSeconds everywhere.,"All docs use gracePeriodSeconds, no occurrences of gracePeriod (without Seconds)"
