TaskID,Milestone,Module,Task,Dependencies,Owner,EstDays,Priority,AcceptanceCriteria
T001,M1,Foundation,Create Go module and directory structure,None,DevOps,0.5,P0,go.mod exists with correct module path; directory structure matches REPO-LAYOUT.md
T002,M1,API,Define TimeWindowScalerSpec struct in api/v1alpha1,T001,API-Designer,0.5,P0,Struct has all fields from CRD-SPEC.md with json tags and godoc
T003,M1,API,Define TimeWindowScalerStatus struct in api/v1alpha1,T001,API-Designer,0.5,P0,Struct has effectiveReplicas observedGeneration currentWindow lastScaleTime gracePeriodExpiry
T004,M1,API,Add kubebuilder markers for CRD validation,T002-T003,API-Designer,0.5,P0,Markers for required fields minLength pattern enums match CRD-SPEC.md
T005,M1,API,Generate CRD manifests with make manifests,T004,API-Designer,0.25,P0,config/crd/bases/kyklos.io_timewindowscalers.yaml exists and validates with kubectl
T006,M1,API,Install CRD to test cluster and validate,T005,API-Designer,0.25,P0,kubectl apply succeeds; kubectl get crd shows timewindowscalers.kyklos.io
T007,M1,TimeCalc,Implement window matching algorithm in timecalc/matcher.go,T001,Controller-Designer,1.0,P0,computeEffectiveReplicas(spec windows defaultReplicas localTime) returns correct replicas for given time
T008,M1,TimeCalc,Write unit tests for simple window matching,T007,Controller-Designer,1.0,P0,Tests cover: in-window out-window boundary cases; 100% coverage for matcher.go
T009,M1,TimeCalc,Implement next boundary calculation in timecalc/boundary.go,T007,Controller-Designer,1.0,P1,computeNextBoundary(spec localTime) returns next window start or end timestamp
T010,M1,TimeCalc,Write unit tests for boundary calculations,T009,Controller-Designer,0.5,P1,Tests cover: next start next end 24-hour wrap; 100% coverage for boundary.go
T011,M1,Controller,Create TimeWindowScalerReconciler struct in controllers/,T002-T003,Controller-Designer,0.5,P0,Reconciler implements controller-runtime Reconciler interface with client scheme recorder
T012,M1,Controller,Implement basic Reconcile function (validate load timezone),T011,Controller-Designer,1.0,P0,Reconcile loads timezone from spec.timezone; returns error if invalid; sets Degraded condition
T013,M1,Controller,Implement target Deployment GET in Reconcile,T012,Controller-Designer,0.5,P0,Reconcile fetches Deployment using targetRef; handles not-found with Ready=False; reads spec.replicas
T014,M1,Controller,Integrate timecalc into Reconcile for effectiveReplicas,T007-T013,Controller-Designer,0.5,P0,Reconcile calls computeEffectiveReplicas with current localTime; stores result in effectiveReplicas var
T015,M1,Controller,Implement conditional Deployment PATCH for replicas,T014,Controller-Designer,1.0,P0,If targetSpec != effectiveReplicas PATCH Deployment with new replicas; idempotent (skip if equal)
T016,M1,StatusWriter,Create statuswriter package with UpdateStatus function,T003,Controller-Designer,0.5,P1,UpdateStatus(ctx client tws effectiveReplicas conditions observedGen) patches status subresource
T017,M1,StatusWriter,Integrate statuswriter into Reconcile,T016-T015,Controller-Designer,0.5,P1,Reconcile calls statuswriter.UpdateStatus before return; status.effectiveReplicas updated
T018,M1,Controller,Implement basic requeue scheduling (60s fixed),T014,Controller-Designer,0.25,P1,Reconcile returns ctrl.Result{RequeueAfter: 60s} for stable state
T019,M1,RBAC,Add kubebuilder RBAC markers to controller,T011,Security-Designer,0.5,P0,Markers for get/list/watch timewindowscalers deployments; update timewindowscalers/status
T020,M1,RBAC,Generate RBAC manifests with make manifests,T019,Security-Designer,0.25,P0,config/rbac/role.yaml and service_account.yaml generated correctly
T021,M1,Manager,Wire up controller in cmd/controller/main.go,T011-T020,Controller-Designer,0.5,P0,main.go creates manager adds controller starts manager with leader election disabled (v0.1)
T022,M1,Manager,Build controller binary with make build,T021,DevOps,0.25,P0,bin/controller binary exists and runs without errors when executed
T023,M1,Manager,Create Dockerfile for controller image,T022,DevOps,0.5,P0,Multi-stage Dockerfile builds binary and creates minimal runtime image (<100MB)
T024,M1,Kustomize,Create manager Deployment manifest in config/manager/,T023,DevOps,0.5,P0,deployment.yaml with controller image resource limits probes args
T025,M1,Kustomize,Create default kustomization.yaml,T024-T005-T020,DevOps,0.25,P0,config/default/kustomization.yaml includes crd rbac manager
T026,M1,Testing,Write envtest suite for basic reconciliation,T011-T015,Test-Engineer,1.0,P1,Test creates TWS and Deployment; reconciles; asserts Deployment.spec.replicas updated
T027,M1,Testing,Add test cases for in-window and out-of-window,T026,Test-Engineer,1.0,P1,Test with fixed time during window (replicas=10) and outside window (replicas=2); both pass
T028,M1,Samples,Create basic TimeWindowScaler sample YAML,T005,Docs-Designer,0.25,P1,config/samples/basic.yaml with 09:00-17:00 window Mon-Fri 10 replicas defaultReplicas=2
T029,M1,Deploy,Deploy controller to kind cluster and verify,T025-T028,DevOps,0.5,P0,kubectl apply config/default; controller pod running; logs show reconciliation
T030,M1,Deploy,Test end-to-end scaling with sample TWS,T029,Test-Engineer,0.5,P0,Create sample TWS; verify Deployment scales; check status; delete TWS; confirm cleanup
T031,M1,Docs,Write README.md with quick start guide,T030,Docs-Designer,1.0,P0,README has: overview quick-start (15 min) installation usage; tested end-to-end
